"kuerzel";"personalTyp";"anrede";"titel";"amtsbezeichnung";"nachname";"vorname";"geschlecht";"geburtsdatum";"staatsangehoerigkeit";"strassenname";"hausnummer";"hausnummerZusatz";"plz";"wohnort";"telefon";"telefonMobil";"emailPrivat";"emailDienstlich";"istSichtbar";"istRelevantFuerStatistik"
"AMMO";"LEHRKRAFT";"Frau";"Prof. Dr.";"STD";"Ammon";"Sabine";"4";"1991-06-18";"000";"Altgrabauer Straße";"227";"";"48157";"Münster";"01234 380479";"0197 983459";"S.Ammon@lmail.de";"s.ammon@dienst.lmail.com";"true";"false"
"ARAU";"LEHRKRAFT";"Herr";"Dr.";"OSTD";"Araujo-Cintra";"Markus";"3";"1972-05-02";"000";"Spitzerstraße";"263";"";"47447";"Moers";"01234 359047";"0197 438028";"M.Araujo-Cintra@lmail.de";"m.araujo-cintra@dienst.lmail.com";"true";"false"
"ASH";"LEHRKRAFT";"Frau";"";"";"Ashrati";"Tahmina";"4";"1990-07-05";"000";"Berlinerstr.";"5";"";"42579";"Heiligenhaus";"";"0176 31551871";"";"t.ashrati@dienst.lmail.com";"true";"true"
"BART";"LEHRKRAFT";"Herr";"";"RSCHD";"Barta";"Mario";"3";"1970-04-15";"000";"Gutsmuthsweg";"211";"";"58636";"Iserlohn";"01234 726216";"0197 831685";"M.Barta@lmail.de";"m.barta@dienst.lmail.com";"true";"true"
"BAUM";"LEHRKRAFT";"Frau";"";"";"Baumbach";"Kathrin, Katrin";"4";"1950-06-29";"000";"Ottomar-Geschke-Straße";"453";"";"46284";"Dorsten";"01234 510283";"0197 432461";"K.Baumbach@lmail.de";"k.baumbach@dienst.lmail.com";"true";"false"
"BDL";"LEHRKRAFT";"Herr";"";"";"Brindl";"Marc";"3";"1988-08-25";"000";"Linienstr.";"17";"";"42289";"Wuppertal";"";"0176 57746172";"";"m.brindl@dienst.lmail.com";"true";"true"
"BEC1";"LEHRKRAFT";"Frau";"";"";"Beck";"Ines";"4";"1988-05-21";"000";"Guerickestraße";"180";"";"58300";"Wetter";"01234 717858";"0197 335021";"I.Beck@lmail.de";"i.beck@dienst.lmail.com";"true";"true"
"BEES";"LEHRKRAFT";"Frau";"";"";"Beesten";"Maria";"4";"1966-04-05";"000";"Fürstenwalder Fußsteig";"154";"";"59071";"Hamm";"01234 595799";"0197 135724";"M.Beesten@lmail.de";"m.beesten@dienst.lmail.com";"true";"false"
"BEHR";"LEHRKRAFT";"Herr";"";"";"Behrendt";"Marcel";"3";"1959-10-20";"000";"Am Langen See";"435";"";"48477";"Hörstel";"01234 119962";"0197 994201";"M.Behrendt@lmail.de";"m.behrendt@dienst.lmail.com";"true";"false"
"BER1";"LEHRKRAFT";"Frau";"";"";"Berends";"Anna";"4";"1961-10-05";"000";"Legiendamm";"86";"";"41472";"Neuss";"01234 949238";"0197 463187";"A.Berends@lmail.de";"a.berends@dienst.lmail.com";"true";"true"
"BERT";"LEHRKRAFT";"Frau";"";"";"Bertmars";"Uta";"4";"1988-03-24";"000";"Neuer Weg";"434";"";"52068";"Aachen";"01234 919066";"0197 284403";"U.Bertmars@lmail.de";"u.bertmars@dienst.lmail.com";"true";"false"
"BIEK";"LEHRKRAFT";"Frau";"";"";"Bieker";"Nadine";"4";"1981-09-18";"000";"Schillerplatz";"319";"";"47053";"Duisburg";"01234 373683";"0197 672704";"N.Bieker@lmail.de";"n.bieker@dienst.lmail.com";"true";"true"
"BIES";"LEHRKRAFT";"Herr";"";"";"Biester";"David";"3";"1958-05-10";"000";"Kleine Wallgasse";"145";"";"42281";"Wuppertal";"01234 964474";"0197 487190";"D.Biester@lmail.de";"d.biester@dienst.lmail.com";"true";"true"
"BILL";"LEHRKRAFT";"Frau";"";"";"Billstein";"Claudia";"4";"1977-05-30";"000";"Nach dem französischen Kirchhof";"168";"";"58089";"Hagen";"01234 762545";"0197 683585";"C.Billstein@lmail.de";"c.billstein@dienst.lmail.com";"true";"true"
"BOLE";"LEHRKRAFT";"Frau";"";"";"Bolenius";"Ulrike";"4";"1964-05-29";"000";"Steinfurther Weg";"374";"";"45470";"Mülheim";"01234 367435";"0197 715289";"U.Bolenius@lmail.de";"u.bolenius@dienst.lmail.com";"true";"true"
"BRE1";"LEHRKRAFT";"Frau";"";"";"Breitfeld";"Jessika";"4";"1992-06-11";"000";"Eitelsdorfer Straße";"306";"";"59073";"Hamm";"01234 742275";"0197 295663";"J.Breitfeld@lmail.de";"j.breitfeld@dienst.lmail.com";"true";"true"
"BREI";"LEHRKRAFT";"Frau";"";"";"Breit";"Lisa";"4";"1961-08-12";"000";"Am Müggelsee";"194";"";"58454";"Witten";"01234 507308";"0197 954160";"L.Breit@lmail.de";"l.breit@dienst.lmail.com";"true";"true"
"BRI1";"LEHRKRAFT";"Frau";"";"";"Brinck";"Jessica";"4";"1975-09-27";"000";"Bölschestraße";"77";"";"52349";"Düren";"01234 495453";"0197 898065";"J.Brinck@lmail.de";"j.brinck@dienst.lmail.com";"true";"true"
"BRIS";"LEHRKRAFT";"Herr";"";"";"Bristdol";"Maik";"3";"1960-10-07";"000";"Alter Markt";"296";"";"40549";"Düsseldorf";"01234 643806";"0197 325760";"M.Bristdol@lmail.de";"m.bristdol@dienst.lmail.com";"true";"true"
"BRIX";"LEHRKRAFT";"Herr";"";"";"Brixius";"Tom";"3";"1990-06-14";"000";"Köllnischer Wursthof";"301";"";"45133";"Essen";"01234 453539";"0197 414848";"T.Brixius@lmail.de";"t.brixius@dienst.lmail.com";"true";"true"
"BRN";"LEHRKRAFT";"Frau";"";"";"Berns";"Nora Eva-Maria";"4";"1980-05-11";"000";"Suitbertusstr.";"16";"";"40223";"Düsseldorf";"";"0163 8774796";"noraberns@gmx.de";"n.berns@dienst.lmail.com";"true";"true"
"BRÜG";"LEHRKRAFT";"Frau";"";"";"Brügmann";"Ulrike";"4";"1978-01-15";"000";"Ammerseestraße";"416";"";"58739";"Wickede";"01234 661045";"0197 883623";"U.Bruegmann@lmail.de";"u.bruegmann@dienst.lmail.com";"true";"false"
"BRÜN";"LEHRKRAFT";"Frau";"";"";"Brüning";"Ines";"4";"1989-07-15";"000";"Mayschweg";"206";"";"48167";"Münster";"01234 118343";"0197 682523";"I.Bruening@lmail.de";"i.bruening@dienst.lmail.com";"true";"true"
"BUC1";"LEHRKRAFT";"Frau";"";"";"Buchholz";"Doreen";"4";"1986-09-25";"000";"Schulstraße";"477";"";"33415";"Verl";"01234 602197";"0197 499947";"D.Buchholz@lmail.de";"d.buchholz@dienst.lmail.com";"true";"false"
"BULT";"LEHRKRAFT";"Frau";"";"";"Bultmann";"Anja";"4";"1972-04-14";"000";"Delpzeile";"253";"";"47652";"Weeze";"01234 779822";"0197 681678";"A.Bultmann@lmail.de";"a.bultmann@dienst.lmail.com";"true";"true"
"BUR1";"LEHRKRAFT";"Herr";"";"";"Burghaus";"Benjamin";"3";"1993-08-09";"000";"Tabbertstraße";"15";"";"50769";"Köln";"01234 614926";"0197 456494";"B.Burghaus@lmail.de";"b.burghaus@dienst.lmail.com";"true";"true"
"BÖRS";"LEHRKRAFT";"Frau";"";"";"Börsting";"Kerstin";"4";"1949-03-07";"000";"Franklinstraße";"305";"";"40878";"Ratingen";"01234 726600";"0197 995742";"K.Boersting@lmail.de";"k.boersting@dienst.lmail.com";"true";"false"
"CASP";"LEHRKRAFT";"Frau";"";"";"Caspar";"Heike";"4";"1986-05-14";"000";"Alsenzer Weg";"49";"";"40474";"Düsseldorf";"01234 763494";"0197 135628";"H.Caspar@lmail.de";"h.caspar@dienst.lmail.com";"true";"true"
"CLAE";"LEHRKRAFT";"Frau";"";"";"Claeßens";"Simone";"4";"1994-03-10";"000";"Moltkestraße";"330";"";"32805";"Horn-Bad Meinberg";"01234 610104";"0197 582390";"S.Claessens@lmail.de";"s.claessens@dienst.lmail.com";"true";"true"
"CLAS";"LEHRKRAFT";"Frau";"";"";"Classe";"Nicole";"4";"1961-05-26";"000";"Kirchhofs-Straße";"490";"";"52399";"Merzenich";"01234 875499";"0197 970649";"N.Classe@lmail.de";"n.classe@dienst.lmail.com";"true";"false"
"COCH";"LEHRKRAFT";"Frau";"";"";"Coch";"Katharina";"4";"1986-07-17";"000";"Am Kanal";"13";"";"59759";"Arnsberg";"01234 799354";"0197 815891";"K.Coch@lmail.de";"k.coch@dienst.lmail.com";"true";"false"
"CRAS";"LEHRKRAFT";"Herr";"";"";"Crassbatter";"Michael";"3";"1975-10-02";"000";"Schillerstraße";"118";"";"47533";"Kleve";"01234 280366";"0197 119491";"M.Crassbatter@lmail.de";"m.crassbatter@dienst.lmail.com";"true";"false"
"CREU";"LEHRKRAFT";"Frau";"";"";"Creutzer";"Sophie";"4";"1985-05-02";"000";"Straße nach Fichtenau";"8";"";"45891";"Gelsenkirchen";"01234 208203";"0197 137841";"S.Creutzer@lmail.de";"s.creutzer@dienst.lmail.com";"true";"true"
"DEBI";"LEHRKRAFT";"Frau";"";"";"Debik";"Sabine";"4";"1957-04-07";"000";"Am Spreebord";"181";"";"59597";"Erwitte";"01234 349715";"0197 993881";"S.Debik@lmail.de";"s.debik@dienst.lmail.com";"true";"true"
"DEIC";"LEHRKRAFT";"Frau";"";"";"Deichmann";"Karolin";"4";"1989-05-25";"000";"Forstmeisterweg";"21";"";"46325";"Borken";"01234 256205";"0197 384555";"K.Deichmann@lmail.de";"k.deichmann@dienst.lmail.com";"true";"true"
"DEIP";"LEHRKRAFT";"Herr";"";"";"Deipenbrock";"Mathias";"3";"1976-07-21";"000";"Schönhauser Communication";"259";"";"46286";"Dorsten";"01234 447408";"0197 864118";"M.Deipenbrock@lmail.de";"m.deipenbrock@dienst.lmail.com";"true";"true"
"DEMM";"LEHRKRAFT";"Frau";"";"";"Demmerling";"Karin";"4";"1990-05-20";"000";"Schmelzen Straße";"361";"";"50737";"Köln";"01234 408150";"0197 110917";"K.Demmerling@lmail.de";"k.demmerling@dienst.lmail.com";"true";"false"
"DETM";"LEHRKRAFT";"Frau";"";"";"Detmar";"Christine";"4";"1991-04-17";"000";"Militscher Weg";"214";"";"50997";"Köln";"01234 144254";"0197 680652";"C.Detmar@lmail.de";"c.detmar@dienst.lmail.com";"true";"false"
"DIET";"LEHRKRAFT";"Herr";"";"";"Dietrich";"Thorsten";"3";"1986-10-25";"000";"Annenallee";"494";"";"46284";"Dorsten";"01234 619659";"0197 883753";"T.Dietrich@lmail.de";"t.dietrich@dienst.lmail.com";"true";"false"
"DOBB";"LEHRKRAFT";"Frau";"";"";"Dobberzin";"Karolin";"4";"1979-12-02";"000";"Chaussee von Charlottenburg";"2";"";"41352";"Korschenbroich";"01234 871232";"0197 369657";"K.Dobberzin@lmail.de";"k.dobberzin@dienst.lmail.com";"true";"false"
"DORN";"LEHRKRAFT";"Frau";"";"";"Dornseiff";"Christin";"4";"1971-03-07";"000";"Buchenweg";"314";"";"44263";"Dortmund";"01234 904568";"0197 628531";"C.Dornseiff@lmail.de";"c.dornseiff@dienst.lmail.com";"true";"true"
"DUMMY";"LEHRKRAFT";"";"";"";"DUMMY";"DUMMY";"";"";"000";"";"";"";"";"";"";"";"";"d.dummy@dienst.lmail.com";"true";"true"
"DÄHN";"LEHRKRAFT";"Frau";"";"";"Dähn";"Sophia";"4";"1995-05-24";"000";"Mittelstraße";"369";"";"57299";"Burbach";"01234 171850";"0197 631040";"S.Daehn@lmail.de";"s.daehn@dienst.lmail.com";"true";"true"
"DÜVE";"LEHRKRAFT";"Frau";"";"";"Düvelshövet";"Lena";"4";"1988-12-10";"000";"Schmale Straße";"128";"";"32469";"Petershagen";"01234 223478";"0197 789822";"L.Duevelshoevet@lmail.de";"l.duevelshoevet@dienst.lmail.com";"true";"true"
"ELLI";"LEHRKRAFT";"Herr";"";"";"Elliott";"Kevin";"3";"1995-08-23";"000";"Schwarzer Weg";"47";"";"59823";"Arnsberg";"01234 600226";"0197 777257";"K.Elliott@lmail.de";"k.elliott@dienst.lmail.com";"true";"true"
"EMME";"LEHRKRAFT";"Herr";"";"";"Emmerich";"Jürgen";"3";"1970-01-24";"000";"Münchweilersteig";"436";"";"44575";"Castrop-Rauxel";"01234 241727";"0197 869222";"J.Emmerich@lmail.de";"j.emmerich@dienst.lmail.com";"true";"true"
"ENGE";"LEHRKRAFT";"Frau";"";"";"Engel";"Birgit";"4";"1952-08-12";"000";"Bahrendorfer Straße";"286";"";"53840";"Troisdorf";"01234 376527";"0197 218015";"B.Engel@lmail.de";"b.engel@dienst.lmail.com";"true";"true"
"ERNS";"LEHRKRAFT";"Frau";"";"";"Ernst";"Sara";"4";"1956-11-17";"000";"Kleine Straße";"217";"";"41063";"Mönchengladbach";"01234 415992";"0197 692720";"S.Ernst@lmail.de";"s.ernst@dienst.lmail.com";"true";"false"
"ESCH";"LEHRKRAFT";"Frau";"";"";"Eschholtz";"Annett";"4";"1969-04-22";"000";"Kakernacks Geßlein";"59";"";"Auckland";"0626";"01234 697843";"0197 635902";"A.Eschholtz@lmail.de";"a.eschholtz@dienst.lmail.com";"true";"false"
"ESMA";"LEHRKRAFT";"Frau";"";"";"Esmarch";"Angelika";"4";"1960-07-25";"000";"Kösterdamm";"245";"";"46119";"Oberhausen";"01234 491930";"0197 548027";"A.Esmarch@lmail.de";"a.esmarch@dienst.lmail.com";"true";"true"
"FEDD";"LEHRKRAFT";"Frau";"";"";"Feddersen";"Ute";"4";"1982-11-30";"000";"Fürstenwalder Chaussee";"372";"";"48429";"Rheine";"01234 911465";"0197 892640";"U.Feddersen@lmail.de";"u.feddersen@dienst.lmail.com";"true";"false"
"FEIG";"LEHRKRAFT";"Herr";"";"";"Feige";"Niklas";"3";"1973-03-30";"000";"Schützenstraße";"295";"";"33161";"Hövelhof";"01234 332668";"0197 963336";"N.Feige@lmail.de";"n.feige@dienst.lmail.com";"true";"true"
"FERR";"LEHRKRAFT";"Frau";"";"";"Ferry";"Melanie";"4";"1965-03-07";"000";"Odernheimer Straße";"54";"";"49549";"Ladbergen";"01234 443000";"0197 395731";"M.Ferry@lmail.de";"m.ferry@dienst.lmail.com";"true";"true"
"FIE";"LEHRKRAFT";"Frau";"";"";"Fiebig";"Marion";"4";"1959-09-16";"000";"Backeskamp";"14";"";"40882";"Ratingen";"02102 1456374";"0157 38102296";"marionfiebig@gmail.com";"m.fiebig@dienst.lmail.com";"true";"true"
"FINK";"LEHRKRAFT";"Herr";"";"";"Finke";"Leon";"3";"1987-04-16";"000";"Annenallee";"364";"";"33154";"Salzkotten";"01234 280137";"0197 193404";"L.Finke@lmail.de";"l.finke@dienst.lmail.com";"true";"false"
"FIßL";"LEHRKRAFT";"Herr";"";"";"Fißler";"Frank";"3";"1958-06-05";"000";"Buschdorfer Straße";"472";"";"51469";"Bergisch Gladbach";"01234 810666";"0197 651423";"F.Fissler@lmail.de";"f.fissler@dienst.lmail.com";"true";"true"
"FLÖB";"LEHRKRAFT";"Frau";"";"";"Flöbb";"Annett";"4";"1982-05-23";"000";"Kannegießer-Gasse";"148";"";"44866";"Bochum";"01234 322514";"0197 146137";"A.Floebb@lmail.de";"a.floebb@dienst.lmail.com";"true";"false"
"FOX";"LEHRKRAFT";"Frau";"";"";"Fox";"Nadine";"4";"1962-11-17";"000";"Rehfeldtstraße";"409";"";"41334";"Nettetal";"01234 504668";"0197 724844";"N.Fox@lmail.de";"n.fox@dienst.lmail.com";"true";"true"
"FRI1";"LEHRKRAFT";"Herr";"";"";"Friese";"Niklas";"3";"1984-07-11";"000";"Köllnischer Fischmarkt";"345";"";"58239";"Schwerte";"01234 565313";"0197 502992";"N.Friese@lmail.de";"n.friese@dienst.lmail.com";"true";"true"
"FRIE";"LEHRKRAFT";"Frau";"";"";"Friedrich";"Kristin";"4";"1981-04-02";"000";"Kirchplatz";"61";"";"52441";"Linnich";"01234 200388";"0197 666378";"K.Friedrich@lmail.de";"k.friedrich@dienst.lmail.com";"true";"true"
"FRIT";"LEHRKRAFT";"Frau";"";"";"Fritze";"Birgit";"4";"1963-02-03";"000";"Sophienstraße";"486";"";"48356";"Nordwalde";"01234 144228";"0197 655914";"B.Fritze@lmail.de";"b.fritze@dienst.lmail.com";"true";"true"
"FROB";"LEHRKRAFT";"Frau";"";"";"Froben";"Stefanie";"4";"1963-07-02";"000";"Schöneicher Landstraße";"31";"";"59955";"Winterberg";"01234 893329";"0197 793879";"S.Froben@lmail.de";"s.froben@dienst.lmail.com";"true";"true"
"GABR";"LEHRKRAFT";"Frau";"";"";"Gabriels";"Claudia";"4";"1994-01-23";"000";"Appelbacher Weg";"424";"";"46509";"Xanten";"01234 858754";"0197 845075";"C.Gabriels@lmail.de";"c.gabriels@dienst.lmail.com";"true";"true"
