"nachname";"vorname";"geburtsdatum";"schuljahr";"abschnitt";"fach";"fachlehrer";"kurs";"kursart";"jahrgaenge";"note";"abiturfach";"wochenstd";"externeschulnr";"zusatzkraft";"wochenstdzusatzkraft";"fehlstd";"unentschfehlstd";"mahnung";"mahndatum"
"Schneider";"Uwe";"05.07.2006";"2025";"2";"M";"BIES";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Dupont";"Charlotte";"25.10.2009";"2025";"2";"M";"BIES";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Güler";"Aslı";"01.07.2013";"2025";"2";"M";"BIES";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Güler";"Aslı";"01.07.2013";"2025";"2";"SP";"ASH";"AG-Sport";"PUT";"05,06,07";"1";"";"4";"";"";"";"0";"0";"";""
"Blažević";"Maja";"21.03.2013";"2025";"2";"SP";"ASH";"AG-Sport";"PUT";"05,06,07";"1";"";"4";"";"";"";"0";"0";"";""
"Yılmaz";"Fatima";"15.03.2008";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Yılmaz";"Fatima";"15.03.2008";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Yılmaz";"Fatima";"15.03.2008";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Yılmaz";"Fatima";"15.03.2008";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Yılmaz";"Fatima";"15.03.2008";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Wisniewski";"Marek";"22.09.2006";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Wisniewski";"Marek";"22.09.2006";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Wisniewski";"Marek";"22.09.2006";"2025";"2";"E";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Wisniewski";"Marek";"22.09.2006";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Wisniewski";"Marek";"22.09.2006";"2025";"2";"GE";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Mustermann";"Maria";"01.01.2009";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Mustermann";"Maria";"01.01.2009";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Mustermann";"Maria";"01.01.2009";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Mustermann";"Maria";"01.01.2009";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Mustermann";"Maria";"01.01.2009";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Müller";"Anna";"12.04.2007";"2025";"2";"D";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Müller";"Anna";"12.04.2007";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Müller";"Anna";"12.04.2007";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Müller";"Anna";"12.04.2007";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Müller";"Anna";"12.04.2007";"2025";"2";"GE";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Schmidt";"Thomas";"22.09.2008";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Schmidt";"Thomas";"22.09.2008";"2025";"2";"M";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Schmidt";"Thomas";"22.09.2008";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Schmidt";"Thomas";"22.09.2008";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Schmidt";"Thomas";"22.09.2008";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Fischer";"Jan";"30.01.2009";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Fischer";"Jan";"30.01.2009";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Fischer";"Jan";"30.01.2009";"2025";"2";"E";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Fischer";"Jan";"30.01.2009";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Fischer";"Jan";"30.01.2009";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Weber";"Sophie";"19.11.2007";"2025";"2";"D";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Weber";"Sophie";"19.11.2007";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Weber";"Sophie";"19.11.2007";"2025";"2";"E";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Weber";"Sophie";"19.11.2007";"2025";"2";"PH";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Weber";"Sophie";"19.11.2007";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Meyer";"Lukas";"08.03.2008";"2025";"2";"D";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Meyer";"Lukas";"08.03.2008";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Meyer";"Lukas";"08.03.2008";"2025";"2";"E";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Meyer";"Lukas";"08.03.2008";"2025";"2";"PH";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Meyer";"Lukas";"08.03.2008";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Wagner";"Emma";"14.06.2009";"2025";"2";"D";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Wagner";"Emma";"14.06.2009";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Wagner";"Emma";"14.06.2009";"2025";"2";"E";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Wagner";"Emma";"14.06.2009";"2025";"2";"PH";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Wagner";"Emma";"14.06.2009";"2025";"2";"GE";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
